path,fileCount,totalSizeBytes,totalCompressedSizeBytes
assets/songs/dl_ravenspride,3,1019624,1019624
assets/songs/dl_raysofremnant,3,956613,956613
assets/songs/dl_reconstruction,3,705039,705039
assets/songs/dl_redandblue,7,5334228,5334228
assets/songs/dl_redolentshape,3,917402,917402
assets/songs/dl_rekkaresonance,3,817974,817974
assets/songs/dl_relentless,3,857314,857314
assets/songs/dl_renegade,3,788781,788781
assets/songs/dl_revixy,3,932309,932309
assets/songs/dl_rgb,3,733754,733754
assets/songs/dl_ringedgenesis,3,742635,742635
assets/songs/dl_riotsystem,3,891909,891909
assets/songs/dl_riseoftheworld,3,867001,867001
assets/songs/dl_romancewars,3,815495,815495
assets/songs/dl_rostpagegene,3,1138359,1138359
assets/songs/dl_rugie,3,781987,781987
assets/songs/dl_sacrifice,3,730839,730839
assets/songs/dl_saikyostronger,3,851874,851874
assets/songs/dl_saintorsinner,5,1228858,1228858
assets/songs/dl_sanskia,3,802387,802387
assets/songs/dl_scarletcage,3,856501,856501
assets/songs/dl_scarletlance,3,905543,905543
assets/songs/dl_scarletlunar,3,1083675,1083675
assets/songs/dl_seclusion,3,819138,819138
assets/songs/dl_seethelights,3,1087734,1087734
assets/songs/dl_seventhsense,3,615005,615005
assets/songs/dl_sheriruth,3,774518,774518
assets/songs/dl_sheriruthrmx,3,680999,680999
assets/songs/dl_shinchoku,3,1098176,1098176
assets/songs/dl_shinoukyoseki,3,828662,828662
assets/songs/dl_shrink,3,812079,812079
assets/songs/dl_signal,3,694571,694571
assets/songs/dl_signof,3,661936,661936
assets/songs/dl_silentrush,3,853637,853637
assets/songs/dl_singularity,7,4895140,4895140
assets/songs/dl_smallcloud,5,1395241,1395241
assets/songs/dl_solitarydream,5,1251646,1251646
assets/songs/dl_someday,3,621064,621064
assets/songs/dl_soundwitch,3,866564,866564
assets/songs/dl_spearofjustice,3,583071,583071
assets/songs/dl_specta,3,801484,801484
assets/songs/dl_spiderdance,3,603637,603637
assets/songs/dl_spidersthread,3,760961,760961
assets/songs/dl_spiritdauntless,3,979239,979239
assets/songs/dl_stager,7,1105020,1105020
assets/songs/dl_stargateextreme,3,892293,892293
assets/songs/dl_stasis,7,1700025,1700025
assets/songs/dl_straightintolights,3,989046,989046
assets/songs/dl_stratoliner,3,776511,776511
assets/songs/dl_strongholds,3,754638,754638
assets/songs/dl_subsphere,3,1021344,1021344
assets/songs/dl_sucromania,3,1098464,1098464
assets/songs/dl_sulfur,3,770503,770503
assets/songs/dl_summerfireworks,3,813555,813555
assets/songs/dl_suomi,3,947646,947646
assets/songs/dl_superambulance,3,745638,745638
assets/songs/dl_supernova,3,633658,633658
assets/songs/dl_surrender,3,751584,751584
assets/songs/dl_swansong,3,989975,989975
assets/songs/dl_synthesis,3,1226189,1226189
assets/songs/dl_syriana,3,728849,728849
assets/songs/dl_syro,3,626757,626757
assets/songs/dl_syuten,3,712001,712001
assets/songs/dl_tabootears,3,1033321,1033321
assets/songs/dl_take,3,801687,801687
assets/songs/dl_tasogare,3,874544,874544
assets/songs/dl_tau,3,728626,728626
assets/songs/dl_technicolour,3,710661,710661
assets/songs/dl_telepathy,3,1141104,1141104
assets/songs/dl_tempestissimo,5,1096822,1096822
assets/songs/dl_temptation,3,721372,721372
assets/songs/dl_temptationgc,3,694445,694445
assets/songs/dl_teravolt,3,824299,824299
assets/songs/dl_teriqma,3,793689,793689
assets/songs/dl_testify,3,924859,924859
assets/songs/dl_themessage,3,857864,857864
assets/songs/dl_theraft,3,774562,774562
assets/songs/dl_thesurvivor,3,874038,874038
assets/songs/dl_theultimacy,3,822545,822545
assets/songs/dl_thirdavenue,3,904052,904052
assets/songs/dl_thirdsun,3,673519,673519
assets/songs/dl_tictactoe,3,775914,775914
assets/songs/dl_tiemedowngently,3,740989,740989
assets/songs/dl_tiferet,3,716914,716914
assets/songs/dl_toaliceliddell,3,768954,768954
assets/songs/dl_tothefurthestdream,7,1710185,1710185
assets/songs/dl_tothemilkyway,3,916478,916478
assets/songs/dl_transientspace,3,743711,743711
assets/songs/dl_trapcrow,3,695549,695549
assets/songs/dl_trappola,5,1645379,1645379
assets/songs/dl_trpno,3,652327,652327
assets/songs/dl_trrricksters,3,848689,848689
assets/songs/dl_tsukinimurakumo,3,887965,887965
assets/songs/dl_turbocharger,3,966802,966802
assets/songs/dl_uad,3,654472,654472
assets/songs/dl_ultimatetaste,3,789249,789249
assets/songs/dl_ultradiaxon,3,977021,977021
assets/songs/dl_undefined,3,956791,956791
assets/songs/dl_undyingmacula,3,1057081,1057081
assets/songs/dl_unknownlevels,3,896003,896003
assets/songs/dl_unknownnum,3,767183,767183
assets/songs/dl_usedtobe,3,833744,833744
assets/songs/dl_vainspire,3,1034713,1034713
assets/songs/dl_valhallazero,3,741466,741466
assets/songs/dl_vallista,3,673167,673167
assets/songs/dl_vandalism,3,940285,940285
assets/songs/dl_vector,3,633897,633897
assets/songs/dl_viciousheroism,7,5269272,5269272
assets/songs/dl_vindication,3,799669,799669
assets/songs/dl_violaillyria,3,1007527,1007527
assets/songs/dl_virtus,3,1074342,1074342
assets/songs/dl_vividtheory,3,747255,747255
assets/songs/dl_viyella,3,679630,679630
